"Name","State","Notes","User","Tags","Created","Runtime","Sweep","hidden_size","input_size","lr","num_classes","num_epochs","optimizer","prefactor","use_mup","act change a1","act change a2","act change a3","act change h1","act change h2","act mean(abs(a1))","act mean(abs(a2))","act mean(abs(a3))","act mean(abs(h1))","act mean(abs(h2))","act norm a1","act norm a2","act norm a3","act norm h1","act norm h2","epoch","grad mean(abs(grad_fc1.weight))","grad mean(abs(grad_fc2.weight))","grad mean(abs(grad_fc3.weight))","grad norm fc1.weight","grad norm fc2.weight","grad norm fc3.weight","spectral_norm_W0","spectral_norm_W1","spectral_norm_W2","test_acc","test_loss","train_loss","trainer/global_step","val_acc","val_loss"
"std_sgd_w1024_lr0.25_e25_b128_9037","finished","-","","","2024-10-22T03:26:56.000Z","71","","1024","3072","0.25","10","25","sgd","1.4142135623730951","false","","","","","","1.258434772491455","1.175241231918335","5.134143829345703","0.3955928683280945","0.19582557678222656","51.23844146728515","46.742156982421875","19.97269630432129","25.283279418945312","15.690553665161133","0","0.0005022212280891836","0.0006685080006718636","0.0019760981667786837","1.1941534280776978","1.1396543979644775","0.3702199161052704","5.5984787940979","3.721575975418091","8.854602813720703","0.5514000058174133","2.180095911026001","0.08251376450061798","0","0.5514000058174133","2.18009614944458"
"mup_sgd_w1024_lr0.125_e25_b128_2554","crashed","-","","","2024-10-22T03:25:24.000Z","61","","1024","3072","0.125","10","25","sgd","1.4142135623730951","true","","","","","","0.560303807258606","0.931283712387085","1.288806676864624","0.2891879677772522","0.7655042409896851","23.085742950439453","37.669891357421875","4.877914905548096","16.809890747070312","35.45745086669922","11","0.00031424505868926644","0.00014728897076565772","0.014594318345189096","0.7396155595779419","0.2263576239347458","2.075891494750977","","","","","","1.4618186950683594","2199","0.4781999886035919","1.4829847812652588"
"std_sgd_w1024_lr0.125_e25_b128_8530","finished","-","","","2024-10-22T03:23:50.000Z","71","","1024","3072","0.125","10","25","sgd","1.4142135623730951","false","","","","","","0.8971157073974609","0.5031995177268982","3.7135801315307617","0.30671244859695435","0.1967143267393112","36.93360900878906","20.397634506225582","14.332087516784668","19.52803421020508","12.099491119384766","0","0.0010113385505974293","0.0011735414154827597","0.004208820406347513","2.3958208560943604","1.7428661584854126","0.6692179441452026","3.827726364135742","2.4926095008850098","6.122550964355469","0.5365999937057495","1.836931228637695","0.26557815074920654","0","0.5365999937057495","1.836931228637695"
"mup_sgd_w512_lr10.0_e25_b128_7220","failed","-","","","2024-10-22T03:22:20.000Z","67","","512","3072","10","10","25","sgd","1.4142135623730951","true","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"std_sgd_w512_lr10.0_e25_b128_3369","failed","-","","","2024-10-22T03:20:49.000Z","68","","512","3072","10","10","25","sgd","1.4142135623730951","false","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"mup_sgd_w512_lr1.0_e25_b128_4458","finished","-","","","2024-10-22T03:19:17.000Z","69","","512","3072","1","10","25","sgd","1.4142135623730951","true","","","","","","1.3553714752197266","2.2187066078186035","3.7854435443878174","0.4694303572177887","0.701503336429596","39.07518005371094","63.49094772338867","14.393430709838867","20.96512985229492","32.783203125","0","0.0008777758339419961","0.0005997212720103562","0.009949336759746076","1.432865858078003","0.444566011428833","1.111840844154358","5.002249240875244","2.7686142921447754","6.399419784545898","0.5218999981880188","1.8588476181030271","0.3497021198272705","0","0.5218999981880188","1.8588476181030271"
"std_sgd_w512_lr1.0_e25_b128_6528","finished","-","","","2024-10-22T03:17:45.000Z","69","","512","3072","1","10","25","sgd","1.4142135623730951","false","","","","","","3.9782912731170654","15.423070907592772","5.031437397003174","0.9214854836463928","0.11262574791908264","110.34033203125","389.27923583984375","19.137771606445312","42.74973678588867","16.758033752441406","0","0.0006457734853029251","0.0007999867666512728","0.003026241436600685","1.0598151683807373","1.340258002281189","0.7812349796295166","19.244760513305664","15.91380500793457","12.403311729431152","0.47929999232292175","2.638554096221924","0.62281733751297","0","0.47929999232292175","2.638554573059082"
"mup_sgd_w512_lr0.5_e25_b128_8568","finished","-","","","2024-10-22T03:16:13.000Z","68","","512","3072","0.5","10","25","sgd","1.4142135623730951","true","","","","","","0.92116379737854","1.1921186447143557","2.689840793609619","0.36278384923934937","0.7405647039413452","26.808490753173828","34.12700653076172","10.234861373901367","15.923297882080078","27.449508666992188","0","0.001457372214645147","0.0007166229770518839","0.016398951411247253","2.390704870223999","0.5181444883346558","1.6861443519592283","3.277977705001831","2.129814624786377","4.414312362670898","0.5126000046730042","1.59799325466156","0.5688279271125793","0","0.5126000046730042","1.5979934930801392"
"std_sgd_w512_lr0.5_e25_b128_2606","crashed","-","","","2024-10-22T03:14:42.000Z","61","","512","3072","0.5","10","25","sgd","1.4142135623730951","false","","","","","","1.7642676830291748","2.4720234870910645","3.388539552688598","0.5758850574493408","0.1471550166606903","50.28289031982422","66.57078552246094","12.799638748168944","25.72570419311523","11.486656188964844","11","0.0007259654812514782","0.0013965328689664602","0.00403826218098402","1.189889430999756","1.12931227684021","0.4605632424354553","","","","","","0.8797199726104736","2249","0.47920000553131104","1.7746367454528809"
"mup_sgd_w512_lr0.25_e25_b128_4242","finished","-","","","2024-10-22T03:13:12.000Z","68","","512","3072","0.25","10","25","sgd","1.4142135623730951","true","","","","","","0.6523246765136719","1.0281450748443604","2.1924009323120117","0.3017595410346985","0.8247140645980835","18.99745750427246","28.996049880981445","8.321969985961914","12.775171279907228","26.875572204589844","0","0.0017578288679942489","0.0006245146505534649","0.018035760149359703","2.8947529792785645","0.4928337037563324","1.9423097372055056","2.1839616298675537","1.845380187034607","3.857736587524414","0.5159000158309937","1.4427043199539185","0.8567432165145874","0","0.5159000158309937","1.442704200744629"
"std_sgd_w512_lr0.25_e25_b128_9656","finished","-","","","2024-10-22T03:11:40.000Z","69","","512","3072","0.25","10","25","sgd","1.4142135623730951","false","","","","","","1.705294489860535","1.6441876888275146","4.674859046936035","0.5432868003845215","0.24561049044132233","48.80158615112305","45.99300765991211","18.048328399658203","24.481643676757812","14.357528686523438","0","0.0009598747128620744","0.0018214455340057611","0.0034176006447523832","1.5475401878356934","1.4283267259597778","0.3792301118373871","6.368851661682129","3.6649329662323","8.44619369506836","0.5214999914169312","2.127443552017212","0.2875886559486389","0","0.5214999914169312","2.127443790435791"
"mup_sgd_w512_lr0.125_e25_b128_6612","finished","-","","","2024-10-22T03:10:08.000Z","69","","512","3072","0.125","10","25","sgd","1.4142135623730951","true","","","","","","0.5478190183639526","0.9763030409812928","1.7198110818862915","0.27817094326019287","0.8449552655220032","16.00206184387207","27.38914680480957","6.485496520996094","11.463560104370115","26.223236083984375","0","0.0010706023313105106","0.000366847962141037","0.013382578268647194","1.7649405002593994","0.2725387513637543","1.2853963375091553","1.5492063760757446","1.484615445137024","3.2020647525787354","0.5223000049591064","1.3523168563842771","0.9842040538787842","0","0.5223000049591064","1.3523163795471191"
